Cpu_php,Net_In_Global,Disque_write_global,Ram_http,Net_Out_Global,Nb_connection_mysql,Nb_process_php,Cpu_http,Cpu_global,Nb_process_http
45.94,0.03,430.94,3.3,0.04,53.0,101.0,0.52,5.84,415.0
45.58,0.02,364.65,3.9,0.03,31.0,101.0,0.09,7.34,299.0
45.33,0.02,362.05,3.2,0.03,65.0,101.0,0.53,6.03,381.0
45.04,0.03,385.06,3.6,0.04,33.0,101.0,0.04,7.46,271.0
44.76,0.02,631.12,3.0,0.03,57.0,101.0,0.27,6.15,338.0
44.42,0.02,376.78,3.9,0.03,19.0,101.0,0.03,7.09,301.0
44.2,0.03,509.02,3.9,0.04,65.0,101.0,0.36,7.69,363.0
43.9,0.02,328.54,4.0,0.03,16.0,101.0,0.04,8.16,316.0
43.69,0.02,406.76,3.7,0.03,62.0,101.0,0.24,6.65,348.0
43.42,0.03,413.17,3.5,0.04,31.0,101.0,0.1,6.23,326.0
43.23,0.03,442.05,3.4,0.04,44.0,101.0,0.05,6.24,320.0
43.03,0.02,419.14,3.5,0.03,21.0,101.0,0.04,7.57,323.0
42.84,0.03,451.68,3.8,0.04,54.0,101.0,0.12,7.09,356.0
42.68,0.02,373.52,3.1,0.03,14.0,101.0,0.09,6.43,289.0
42.49,0.02,555.9,3.8,0.03,53.0,101.0,0.75,6.01,362.0
42.28,0.03,360.38,2.9,0.04,18.0,101.0,0.19,5.96,276.0
42.08,0.02,467.76,3.5,0.03,55.0,101.0,0.2,9.55,331.0
41.96,0.02,401.02,3.0,0.03,16.0,101.0,0.04,5.76,283.0
41.78,0.03,441.91,3.7,0.04,63.0,101.0,0.02,10.97,347.0
41.64,0.02,383.44,3.2,0.03,20.0,101.0,0.04,6.24,299.0
41.44,0.02,446.54,3.8,0.03,61.0,101.0,0.18,6.47,355.0
41.32,0.03,413.71,3.1,0.04,30.0,101.0,0.07,6.8,292.0
41.19,0.03,460.78,3.8,0.03,54.0,101.0,0.23,6.81,352.0
41.01,0.02,321.69,3.3,0.03,19.0,101.0,0.04,7.14,306.0
40.88,0.03,515.98,3.8,0.03,47.0,101.0,0.3,6.83,361.0
40.78,0.02,362.39,3.0,0.03,17.0,101.0,0.05,5.72,281.0
40.59,0.02,419.53,4.1,0.03,68.0,101.0,0.16,7.87,390.0
40.49,0.03,235.14,3.0,0.03,25.0,101.0,0.06,6.99,278.0
40.42,0.03,555.68,4.8,0.03,69.0,101.0,0.59,7.37,460.0
40.33,0.02,408.71,3.2,0.03,28.0,101.0,0.03,6.32,297.0
40.17,0.03,479.89,3.7,0.03,62.0,101.0,0.49,9.66,352.0
40.05,0.02,376.31,2.9,0.03,25.0,101.0,0.04,6.71,270.0
39.94,0.02,484.58,4.0,0.03,60.0,101.0,0.71,7.32,385.0
39.82,0.02,389.85,3.0,0.03,20.0,101.0,0.03,6.53,280.0
39.73,0.02,435.11,3.7,0.03,49.0,101.0,0.12,11.08,347.0
39.64,0.02,377.25,3.0,0.03,21.0,101.0,0.04,8.47,280.0
39.53,0.03,452.86,4.0,0.03,56.0,101.0,0.51,7.38,371.0
39.46,0.02,361.98,3.7,0.03,18.0,101.0,0.11,6.8,336.0
39.43,0.02,759.74,4.2,0.03,85.0,101.0,0.36,8.82,394.0
39.35,0.03,427.77,3.0,0.03,23.0,101.0,0.07,7.19,276.0
39.27,0.02,418.24,3.9,0.03,51.0,101.0,0.14,7.31,365.0
39.23,0.02,557.92,3.0,0.03,18.0,101.0,0.07,9.46,273.0
39.09,0.03,426.93,3.9,0.03,56.0,101.0,0.46,6.59,362.0
39.09,0.02,413.47,3.5,0.03,16.0,101.0,0.09,7.89,317.0
39.0,0.02,386.12,4.5,0.03,88.0,101.0,0.21,8.37,416.0
38.99,0.03,337.57,3.4,0.03,19.0,101.0,0.04,7.02,308.0
38.9,0.02,366.17,4.0,0.03,64.0,101.0,0.36,7.58,374.0
38.84,0.02,374.59,3.1,0.03,16.0,101.0,0.06,7.86,279.0
38.74,0.03,424.63,3.7,0.03,67.0,101.0,0.24,7.72,341.0
38.64,0.02,369.38,2.9,0.03,11.0,101.0,0.04,6.72,267.0
38.52,0.02,509.25,4.1,0.03,89.0,101.0,0.73,7.22,384.0
38.49,0.03,389.75,3.7,0.04,17.0,101.0,0.09,13.77,337.0
38.42,0.02,8930.67,3.6,0.03,65.0,101.0,0.26,8.4,333.0
38.33,0.02,2604.03,3.2,0.03,96.0,101.0,0.04,7.14,292.0
37.55,0.02,410.12,3.6,0.03,57.0,102.0,0.24,14.52,333.0
37.4,0.02,320.58,3.0,0.03,18.0,102.0,0.15,6.68,276.0
37.19,0.03,293.71,3.8,0.04,62.0,102.0,0.3,11.14,349.0
36.65,0.03,352.38,2.9,0.04,32.0,101.0,0.1,6.23,263.0
36.59,0.03,315.75,3.9,0.04,65.0,101.0,0.11,7.25,364.0
36.61,0.02,304.64,3.8,0.03,25.0,101.0,0.08,5.59,349.0
36.46,0.03,288.07,3.8,0.03,64.0,101.0,0.32,6.3,349.0
36.35,0.02,360.25,3.1,0.02,21.0,101.0,0.05,7.14,280.0
36.3,0.03,384.22,3.6,0.03,74.0,101.0,0.05,6.97,328.0
36.32,0.02,323.26,3.6,0.03,22.0,101.0,0.14,6.67,334.0
36.24,0.02,474.96,3.6,0.03,70.0,101.0,0.11,6.76,336.0
36.22,0.02,264.5,3.3,0.03,28.0,101.0,0.03,11.16,298.0
36.12,0.02,405.63,3.8,0.03,74.0,101.0,0.37,5.9,357.0
36.13,0.02,420.32,3.4,0.03,38.0,101.0,0.08,5.59,308.0
36.08,0.02,465.16,4.0,0.03,85.0,101.0,0.12,7.52,372.0
36.05,0.02,315.57,3.4,0.02,41.0,101.0,0.15,6.29,315.0
35.95,0.02,424.56,4.0,0.03,80.0,101.0,0.55,6.6,375.0
35.92,0.02,417.27,2.9,0.03,25.0,101.0,0.07,5.92,267.0
35.86,0.02,401.32,3.9,0.03,84.0,101.0,0.35,7.73,368.0
35.77,0.02,327.25,2.9,0.03,29.0,101.0,0.09,6.38,267.0
35.74,0.02,358.38,4.1,0.03,16.0,101.0,0.59,6.56,385.0
35.62,0.02,333.56,3.3,0.03,23.0,101.0,0.07,6.13,306.0
35.56,0.02,403.27,3.9,0.03,22.0,101.0,0.11,5.65,367.0
35.54,0.02,358.41,3.4,0.03,15.0,101.0,0.07,7.12,310.0
35.46,0.02,427.52,3.9,0.03,23.0,101.0,0.38,8.03,367.0
35.41,0.02,344.48,3.2,0.03,20.0,101.0,0.17,7.33,298.0
35.37,0.02,369.01,3.5,0.03,37.0,101.0,0.3,6.55,335.0
35.33,0.02,347.52,3.0,0.03,22.0,101.0,0.03,6.47,282.0
35.31,0.02,422.32,3.6,0.03,26.0,101.0,0.53,6.35,343.0
35.26,0.02,348.89,3.6,0.03,36.0,101.0,0.17,7.46,335.0
35.21,0.02,393.27,4.2,0.03,22.0,101.0,0.31,5.95,397.0
35.16,0.02,290.97,3.3,0.03,12.0,101.0,0.06,7.79,306.0
35.1,0.02,467.53,4.0,0.03,22.0,101.0,0.5,8.98,380.0
35.08,0.02,296.25,3.2,0.03,14.0,101.0,0.07,7.28,293.0
35.03,0.02,331.2,3.9,0.02,63.0,101.0,0.57,5.85,373.0
35.04,0.02,243.07,3.6,0.03,29.0,101.0,0.28,6.49,329.0
34.98,0.02,320.77,4.1,0.03,47.0,101.0,1.18,5.95,391.0
34.93,0.02,284.06,2.9,0.03,15.0,101.0,0.09,5.33,268.0
34.84,0.02,358.24,3.5,0.03,33.0,101.0,0.36,5.55,329.0
34.81,0.02,348.74,3.3,0.03,16.0,101.0,0.06,5.29,304.0
34.68,0.02,393.61,3.9,0.03,41.0,101.0,0.86,7.32,372.0
34.66,0.02,297.97,3.0,0.03,15.0,101.0,0.04,6.51,280.0
34.59,0.02,379.33,3.6,0.03,34.0,101.0,0.34,6.68,339.0
34.51,0.02,263.08,3.0,0.03,23.0,101.0,0.11,8.53,283.0
34.42,0.02,428.55,4.0,0.03,42.0,101.0,0.88,5.76,378.0
34.39,0.02,242.77,3.0,0.03,17.0,101.0,0.04,5.45,278.0
34.32,0.02,344.47,3.8,0.03,32.0,101.0,0.51,5.88,361.0
34.26,0.02,383.69,3.2,0.03,17.0,101.0,0.06,4.88,296.0
34.17,0.02,362.85,3.7,0.03,30.0,101.0,0.81,5.11,355.0
34.12,0.02,375.9,3.1,0.03,24.0,101.0,0.2,4.87,287.0
34.06,0.02,480.11,3.7,0.03,45.0,101.0,0.36,4.78,352.0
34.02,0.02,296.18,3.2,0.03,24.0,101.0,0.12,5.27,300.0
33.91,0.02,422.15,3.9,0.03,29.0,101.0,1.62,6.81,368.0
33.85,0.02,303.9,3.3,0.03,18.0,101.0,0.06,5.81,309.0
33.81,0.02,407.04,3.5,0.03,53.0,101.0,0.77,6.31,332.0
33.76,0.02,206.21,3.0,0.03,16.0,101.0,0.07,5.52,284.0
33.69,0.02,376.27,3.9,0.03,40.0,101.0,0.91,7.33,341.0
33.67,0.02,229.38,2.9,0.03,13.0,101.0,0.06,6.83,269.0
33.55,0.02,298.09,4.0,0.03,45.0,101.0,0.74,5.87,386.0
32.21,0.02,299.91,2.9,0.03,20.0,101.0,0.07,5.04,265.0
32.17,0.02,389.28,3.8,0.03,36.0,101.0,1.53,5.53,355.0
31.74,0.02,292.48,2.9,0.03,29.0,101.0,0.12,6.07,268.0
30.89,0.02,494.02,3.2,0.03,43.0,101.0,0.24,5.54,303.0
29.91,0.02,352.59,2.6,0.03,27.0,101.0,0.05,6.42,242.0
27.76,0.02,289.45,3.6,0.03,44.0,101.0,0.96,10.6,341.0
27.75,0.02,341.69,3.4,0.03,25.0,101.0,0.05,5.78,325.0
27.55,0.02,359.66,4.0,0.02,40.0,101.0,1.41,4.72,383.0
27.06,0.02,312.16,3.0,0.03,28.0,101.0,0.16,5.47,278.0
26.74,0.02,439.45,3.4,0.03,47.0,101.0,1.24,4.88,317.0
26.8,0.02,251.86,3.1,0.03,35.0,101.0,0.23,5.9,290.0
26.71,0.02,357.55,3.5,0.03,41.0,101.0,0.44,4.53,309.0
26.74,0.02,321.18,2.9,0.03,17.0,101.0,0.14,6.81,276.0
26.59,0.02,365.68,3.6,0.03,39.0,101.0,0.76,6.41,346.0
26.82,0.02,290.88,3.1,0.03,18.0,101.0,0.16,5.63,294.0
26.21,0.02,392.57,3.7,0.03,42.0,101.0,0.8,5.83,346.0
25.96,0.02,335.57,3.1,0.03,16.0,101.0,0.06,5.68,290.0
25.96,0.02,447.36,3.6,0.03,38.0,101.0,1.54,5.38,346.0
25.96,0.02,337.36,3.2,0.03,12.0,101.0,0.14,6.09,302.0
25.75,0.02,332.58,3.5,0.03,42.0,101.0,2.54,5.79,329.0
25.88,0.02,298.97,3.0,0.03,16.0,101.0,0.18,5.68,283.0
26.06,0.03,477.83,4.2,0.03,50.0,101.0,1.67,6.17,382.0
26.24,0.02,399.58,3.6,0.03,26.0,101.0,0.19,13.81,337.0
26.49,0.02,552.92,4.3,0.03,46.0,101.0,1.69,7.28,354.0
26.75,0.02,312.53,3.3,0.03,20.0,101.0,0.06,7.08,312.0
26.85,0.02,671.95,4.1,0.03,48.0,101.0,10.01,9.06,376.0
27.01,0.02,299.83,3.3,0.03,20.0,101.0,0.04,6.46,311.0
27.28,0.02,590.67,4.2,0.03,65.0,101.0,0.42,7.75,353.0
27.51,0.02,223.49,3.4,0.03,15.0,101.0,0.06,8.15,322.0
27.71,0.02,451.08,4.2,0.03,43.0,101.0,0.09,8.31,397.0
27.96,0.02,206.62,3.9,0.03,17.0,101.0,0.04,7.63,370.0
28.29,0.02,430.65,4.6,0.03,49.0,101.0,0.04,8.81,418.0
28.58,0.02,268.18,3.5,0.03,33.0,101.0,0.06,6.7,330.0
28.84,0.02,470.13,4.9,0.03,63.0,101.0,0.05,8.81,439.0
29.43,0.02,369.04,4.1,0.03,22.0,101.0,0.05,11.09,371.0
30.11,0.02,330.48,5.8,0.03,72.0,101.0,0.07,10.57,462.0
30.8,0.02,334.7,6.2,0.03,31.0,101.0,0.81,16.66,571.0
31.27,0.02,410.74,5.5,0.03,49.0,101.0,0.04,10.36,469.0
31.64,0.02,332.21,6.1,0.03,28.0,101.0,0.12,11.28,555.0
33.51,0.02,358.15,5.1,0.03,60.0,104.0,0.06,12.58,449.0
33.96,0.02,382.03,5.4,0.03,28.0,103.0,0.24,13.37,491.0
42.01,0.02,295.82,6.2,0.03,77.0,104.0,0.05,19.91,499.0
43.64,0.02,347.61,6.2,0.03,26.0,104.0,0.05,20.36,562.0
44.38,0.02,233.38,6.2,0.04,83.0,104.0,0.03,17.16,552.0
44.87,0.02,338.9,6.1,0.03,30.0,104.0,0.1,39.74,552.0
44.79,0.02,485.19,5.7,0.03,91.0,102.0,0.04,21.01,417.0
46.0,0.02,555.53,5.1,0.03,39.0,102.0,0.07,19.87,465.0
52.62,0.02,619.04,5.7,0.03,102.0,109.0,0.07,26.56,442.0
56.17,0.02,252.57,6.4,0.03,57.0,112.0,0.12,22.44,578.0
53.92,0.02,425.88,6.0,0.03,82.0,107.0,0.04,19.62,514.0
55.25,0.02,330.86,7.1,0.03,59.0,107.0,0.03,22.99,640.0
60.39,0.02,583.91,6.7,0.03,141.0,111.0,0.83,32.67,529.0
75.62,0.02,6804.22,7.2,0.03,58.0,138.0,0.03,38.48,648.0
71.01,0.02,590.18,6.3,0.03,86.0,112.0,0.21,24.79,561.0
68.47,0.02,423.24,6.6,0.03,60.0,111.0,0.03,25.46,587.0
73.14,0.02,349.85,6.6,0.03,97.0,114.0,0.19,24.04,579.0
72.34,0.02,460.69,6.7,0.04,39.0,117.0,0.1,29.18,607.0
72.0,0.02,538.95,7.1,0.03,102.0,111.0,0.09,18.42,564.0
69.41,0.03,600.83,6.4,0.04,143.0,107.0,0.02,22.63,592.0
66.56,0.02,456.02,7.3,0.04,116.0,118.0,0.24,33.44,596.0
70.75,0.02,364.32,6.5,0.03,66.0,124.0,0.0,40.02,594.0
69.62,0.03,653.73,7.4,0.04,180.0,114.0,0.42,33.37,532.0
66.69,0.02,406.32,6.8,0.04,71.0,115.0,0.06,29.18,626.0
69.67,0.02,479.54,6.0,0.03,95.0,121.0,0.06,33.91,500.0
82.45,0.03,419.88,5.3,0.04,64.0,130.0,0.03,37.33,492.0
78.94,0.02,418.73,7.3,0.03,143.0,121.0,0.61,30.23,448.0
74.05,0.02,422.85,6.2,0.03,41.0,113.0,0.06,36.88,575.0
70.08,0.03,307.12,6.0,0.04,146.0,114.0,0.26,27.9,443.0
81.39,0.02,484.92,6.2,0.04,53.0,132.0,0.03,36.73,573.0
71.12,0.02,357.77,7.7,0.03,141.0,114.0,3.14,34.52,457.0
78.27,0.03,426.9,7.3,0.04,62.0,124.0,0.05,36.11,657.0
79.74,0.02,450.59,8.1,0.04,153.0,123.0,0.98,47.87,637.0
98.36,0.02,355.9,7.3,0.04,63.0,175.0,0.01,52.2,661.0
70.53,0.02,723.61,6.8,0.04,173.0,116.0,0.07,37.88,618.0
71.74,0.02,309.07,7.6,0.04,33.0,123.0,0.03,39.34,697.0
69.5,0.02,503.07,8.6,0.03,177.0,115.0,2.11,40.44,628.0
91.88,0.03,420.68,8.4,0.04,48.0,157.0,0.01,65.11,766.0
62.92,0.02,647.01,8.0,0.03,100.0,112.0,2.12,36.72,593.0
75.26,0.02,514.43,7.5,0.04,54.0,121.0,0.03,31.38,683.0
70.33,0.02,330.88,7.4,0.04,109.0,110.0,1.2,18.36,541.0
71.86,0.02,406.32,7.1,0.04,37.0,109.0,0.01,29.0,639.0
72.34,0.02,401.37,7.9,0.04,112.0,114.0,1.0,39.08,645.0
71.52,0.02,334.82,7.5,0.04,50.0,111.0,0.04,28.7,680.0
71.64,0.02,1857.29,6.2,0.03,124.0,110.0,0.04,34.43,511.0
77.28,0.02,794.42,7.2,0.03,50.0,119.0,0.04,28.61,667.0
69.13,0.02,775.62,6.7,0.04,70.0,106.0,0.24,16.5,577.0
76.9,0.02,726.0,7.2,0.04,80.0,116.0,0.04,28.79,655.0
70.05,0.02,608.9,6.9,0.03,69.0,107.0,0.03,21.98,625.0
68.69,0.02,277.36,6.2,0.04,32.0,107.0,0.05,17.58,562.0
68.28,0.02,411.28,6.0,0.03,63.0,106.0,1.17,20.51,525.0
67.27,0.02,272.16,6.7,0.03,22.0,105.0,0.05,32.56,609.0
65.95,0.03,262.33,6.0,0.04,82.0,104.0,2.46,14.26,500.0
66.49,0.02,324.08,6.8,0.03,38.0,104.0,0.11,41.3,615.0
65.83,0.02,357.38,6.0,0.03,80.0,104.0,10.99,14.99,519.0
66.78,0.03,868.92,6.3,0.04,37.0,106.0,0.02,19.38,573.0
65.16,0.02,455.09,6.7,0.04,51.0,104.0,0.94,17.74,604.0
75.96,0.02,352.53,6.6,0.03,35.0,119.0,0.01,28.58,602.0
66.38,0.03,424.23,6.3,0.04,81.0,106.0,8.2,28.73,569.0
65.44,0.02,302.13,6.3,0.03,31.0,105.0,0.03,15.42,571.0
64.06,0.02,418.56,6.5,0.03,79.0,104.0,6.92,15.46,634.0
64.38,0.03,303.92,6.6,0.04,53.0,104.0,0.01,16.76,551.0
68.72,0.02,295.54,5.5,0.03,103.0,109.0,0.14,15.99,478.0
68.59,0.02,3874.47,6.6,0.03,47.0,109.0,0.08,23.2,558.0
67.79,0.02,513.27,6.2,0.03,60.0,106.0,0.09,19.18,532.0
70.79,0.02,724.03,6.7,0.03,28.0,109.0,0.03,43.27,568.0
64.16,0.02,476.5,6.5,0.03,88.0,106.0,0.03,23.17,537.0
83.7,0.02,788.53,6.2,0.04,71.0,127.0,0.02,42.61,524.0
74.66,0.02,543.73,6.1,0.03,106.0,118.0,0.06,44.66,639.0
74.46,0.02,751.03,7.4,0.03,62.0,112.0,0.06,37.31,630.0
74.68,0.02,756.4,6.7,0.03,107.0,114.0,0.09,36.79,725.0
83.32,0.02,729.87,6.4,0.03,83.0,110.0,0.07,43.06,568.0
88.63,0.02,900.79,6.6,0.03,130.0,118.0,0.13,45.48,780.0
97.29,0.02,946.73,7.1,0.04,139.0,124.0,0.1,39.71,596.0
73.27,0.02,598.62,7.0,0.04,91.0,117.0,0.03,53.91,576.0
72.65,0.02,742.42,6.1,0.03,53.0,125.0,0.01,28.52,497.0
70.59,0.02,614.78,6.5,0.03,77.0,109.0,0.03,20.44,607.0
71.62,0.02,599.57,5.5,0.03,33.0,110.0,0.03,24.18,440.0
78.13,0.02,760.14,6.4,0.03,118.0,121.0,0.04,29.61,664.0
71.62,0.02,767.67,5.4,0.03,32.0,114.0,0.03,41.15,435.0
71.46,0.02,786.18,6.9,0.03,94.0,112.0,1.49,31.94,747.0
72.46,0.02,306.61,7.0,0.03,47.0,114.0,0.03,28.25,583.0
76.48,0.02,333.48,6.5,0.03,121.0,116.0,0.84,30.46,553.0
74.11,0.02,733.79,7.3,0.03,86.0,110.0,0.09,36.16,620.0
84.09,0.02,933.88,6.8,0.03,121.0,132.0,0.03,28.09,625.0
74.23,0.02,789.15,7.4,0.04,44.0,118.0,0.03,44.71,614.0
83.14,0.02,986.67,7.3,0.04,167.0,147.0,0.01,36.66,708.0
84.42,0.02,365.02,7.8,0.03,76.0,135.0,0.01,48.29,659.0
78.47,0.02,428.89,7.0,0.03,121.0,145.0,0.02,41.82,718.0
73.94,0.02,324.92,7.0,0.04,82.0,120.0,0.04,42.46,567.0
75.88,0.02,350.95,7.2,0.03,104.0,130.0,0.07,35.94,689.0
82.84,0.02,473.73,8.6,0.04,69.0,141.0,0.01,55.99,726.0
73.46,0.02,485.98,6.9,0.04,82.0,129.0,0.03,45.32,633.0
78.7,0.02,556.96,7.9,0.04,83.0,122.0,0.02,43.26,660.0
81.28,0.02,732.94,6.9,0.03,115.0,141.0,0.03,32.32,699.0
72.07,0.02,776.38,7.4,0.04,51.0,114.0,0.03,38.51,611.0
73.08,0.02,614.77,6.7,0.03,114.0,121.0,0.11,33.03,748.0
76.78,0.02,688.92,7.4,0.04,31.0,124.0,0.04,39.28,613.0
74.12,0.02,878.42,6.6,0.03,127.0,134.0,0.01,23.95,721.0
69.42,0.02,675.47,7.5,0.03,66.0,106.0,0.0,36.91,618.0
80.08,0.02,1528.41,6.2,0.03,83.0,139.0,0.04,41.24,622.0
76.76,0.02,635.78,7.5,0.04,67.0,119.0,0.06,30.77,613.0
68.84,0.02,774.62,6.3,0.03,70.0,106.0,0.01,16.81,676.0
69.81,0.02,558.77,6.8,0.03,39.0,105.0,0.06,25.83,563.0
70.99,0.02,870.55,5.6,0.04,96.0,108.0,0.05,20.45,683.0
66.88,0.02,1291.11,6.8,0.03,49.0,104.0,0.07,15.24,557.0
65.57,0.02,766.82,6.0,0.03,62.0,104.0,0.06,13.43,588.0
64.42,0.02,692.62,7.7,0.03,44.0,103.0,0.11,19.67,640.0
63.84,0.02,821.85,6.0,0.03,79.0,103.0,0.13,18.92,655.0
63.27,0.02,753.46,6.6,0.03,42.0,103.0,0.04,18.2,540.0
62.91,0.02,542.55,5.7,0.03,73.0,103.0,0.04,19.88,577.0
62.51,0.02,879.48,6.7,0.03,32.0,103.0,0.02,13.85,550.0
62.04,0.02,797.64,5.8,0.03,55.0,103.0,0.04,14.23,651.0
61.33,0.02,781.49,6.9,0.03,26.0,102.0,0.29,16.89,575.0
60.35,0.02,382.32,5.6,0.03,50.0,102.0,0.03,29.9,564.0
59.42,0.02,367.27,5.9,0.03,18.0,102.0,0.11,16.86,484.0
58.44,0.02,406.48,5.4,0.03,43.0,102.0,0.08,7.05,459.0
56.79,0.02,332.12,6.3,0.03,17.0,101.0,0.06,10.77,518.0
55.96,0.02,489.46,5.5,0.03,63.0,101.0,0.1,10.26,548.0
55.02,0.02,348.18,5.8,0.03,20.0,101.0,0.41,8.73,479.0
54.17,0.02,533.39,5.0,0.03,52.0,101.0,0.56,12.64,550.0
53.44,0.02,295.14,5.4,0.03,18.0,101.0,0.21,8.99,440.0
52.76,0.02,447.07,4.4,0.03,58.0,101.0,0.05,7.16,389.0
52.09,0.02,266.06,4.2,0.03,29.0,101.0,0.04,8.03,337.0
51.42,0.02,326.18,3.5,0.03,56.0,101.0,7.21,6.38,414.0
50.88,0.02,330.53,4.6,0.03,16.0,101.0,0.06,8.67,377.0
50.42,0.02,466.66,3.7,0.03,65.0,101.0,1.79,7.48,398.0
50.02,0.02,314.0,4.2,0.03,25.0,101.0,0.04,8.1,332.0
49.54,0.02,682.7,4.1,0.03,60.0,101.0,4.11,6.88,387.0
49.14,0.02,279.57,3.8,0.03,23.0,101.0,0.07,7.64,361.0
48.73,0.02,445.01,3.7,0.03,52.0,101.0,0.62,6.99,389.0
48.38,0.02,369.67,3.4,0.03,19.0,101.0,0.09,10.18,321.0
48.05,0.02,546.12,4.3,0.03,72.0,101.0,4.14,10.03,412.0
47.71,0.02,250.75,3.2,0.03,23.0,101.0,0.08,10.52,306.0
47.46,0.02,416.02,4.3,0.03,54.0,101.0,3.25,7.89,407.0
47.17,0.02,377.02,3.6,0.03,20.0,101.0,0.01,11.5,346.0
46.72,0.03,459.6,3.8,0.03,67.0,101.0,0.14,6.01,388.0
46.38,0.02,19752.82,3.2,0.03,19.0,101.0,0.18,9.24,309.0
45.97,0.02,478.2,4.3,0.03,56.0,101.0,3.45,8.61,378.0
45.26,0.03,95.62,0.2,0.03,4.0,101.0,0.04,1.33,29.0
44.14,0.02,822.64,0.2,0.03,4.0,101.0,0.0,1.61,25.0
43.06,0.02,32.49,0.2,0.02,5.0,101.0,0.07,0.17,23.0
42.0,0.03,41.97,0.3,0.03,4.0,101.0,0.0,0.13,25.0
41.05,0.02,77.24,0.2,0.02,4.0,101.0,0.0,0.34,27.0
40.1,0.02,2033.32,0.2,0.02,5.0,101.0,0.0,2.18,32.0
16.57,0.03,482.47,2.4,0.03,31.0,76.0,0.27,6.8,259.0
22.12,0.03,675.81,3.1,0.03,68.0,76.0,1.69,7.85,329.0
24.4,0.02,1080.16,3.1,0.03,29.0,76.0,0.01,7.25,322.0
24.69,0.02,655.0,3.3,0.03,46.0,76.0,0.22,6.01,340.0
24.92,0.02,1062.74,3.0,0.03,34.0,76.0,0.04,6.69,348.0
25.74,0.02,762.7,2.8,0.03,62.0,76.0,0.31,7.85,371.0
25.59,0.02,539.59,3.2,0.03,27.0,76.0,0.03,7.1,306.0
25.92,0.02,675.92,2.7,0.03,73.0,76.0,0.97,8.12,372.0
26.27,0.02,442.39,3.8,0.03,22.0,76.0,0.23,7.05,367.0
26.61,0.02,386.81,2.9,0.03,66.0,76.0,0.53,8.28,362.0
33.59,0.02,1169.44,8.9,0.04,29.0,102.0,0.17,7.86,884.0
33.84,0.02,566.1,6.2,0.03,59.0,101.0,0.05,9.29,585.0
32.74,0.02,606.13,3.4,0.03,29.0,101.0,0.0,5.73,311.0
32.32,0.02,532.59,2.6,0.03,64.0,101.0,0.34,5.4,350.0
31.81,0.02,598.65,3.4,0.03,28.0,101.0,0.04,8.5,322.0
31.44,0.02,409.9,2.8,0.03,70.0,101.0,1.35,5.37,330.0
31.14,0.02,682.9,3.6,0.03,22.0,101.0,0.09,7.38,341.0
31.15,0.02,356.27,3.5,0.03,66.0,101.0,0.46,5.77,357.0
31.12,0.02,379.71,2.7,0.03,30.0,101.0,0.06,6.39,309.0
31.12,0.02,492.03,3.3,0.03,71.0,101.0,0.14,5.95,337.0
30.97,0.02,652.95,2.7,0.03,26.0,101.0,0.06,5.58,308.0
30.95,0.02,441.38,3.4,0.03,71.0,101.0,1.81,9.64,339.0
30.79,0.03,206.93,2.8,0.03,25.0,101.0,0.05,7.02,314.0
30.71,0.02,327.24,3.3,0.03,70.0,101.0,0.88,5.39,327.0
30.56,0.02,629.07,2.8,0.03,21.0,101.0,0.04,7.17,317.0
30.5,0.02,297.21,3.2,0.03,74.0,101.0,1.51,7.01,359.0
30.36,0.02,347.24,2.8,0.03,24.0,101.0,0.05,7.19,320.0
30.35,0.02,370.3,3.3,0.03,70.0,101.0,0.87,10.56,344.0
30.26,0.02,229.59,2.9,0.03,21.0,101.0,0.1,7.8,322.0
30.18,0.02,521.34,3.3,0.03,76.0,101.0,0.95,6.59,345.0
30.07,0.02,424.51,2.7,0.03,26.0,101.0,0.09,7.1,307.0
30.02,0.02,427.54,3.5,0.03,71.0,101.0,3.38,5.09,338.0
29.93,0.02,456.59,2.4,0.03,24.0,101.0,0.07,7.27,278.0
29.92,0.02,346.47,3.2,0.03,69.0,101.0,1.06,5.15,347.0
29.84,0.02,277.15,2.6,0.03,22.0,101.0,0.08,5.74,294.0
29.82,0.02,432.27,3.5,0.03,69.0,101.0,3.74,5.99,351.0
29.79,0.02,279.46,2.7,0.03,25.0,101.0,0.17,5.57,306.0
29.74,0.03,436.78,3.4,0.03,67.0,101.0,3.59,5.47,311.0
29.7,0.02,258.1,2.3,0.03,20.0,101.0,0.18,6.69,266.0
29.7,0.03,341.79,3.4,0.03,59.0,101.0,1.94,4.82,341.0
29.69,0.03,319.36,3.4,0.03,21.0,101.0,0.11,8.95,374.0
29.68,0.02,586.72,3.9,0.03,87.0,101.0,9.71,6.64,297.0
29.64,0.02,365.28,2.8,0.03,27.0,101.0,0.08,7.0,322.0
29.63,0.03,10482.71,3.4,0.03,72.0,101.0,8.56,6.83,304.0
29.61,0.02,2551.66,2.7,0.03,59.0,101.0,0.06,8.52,314.0
29.57,40.85,345.02,3.5,0.16,63.0,101.0,0.06,5.31,317.0
29.52,0.03,286.11,3.1,0.03,25.0,101.0,0.21,6.48,348.0
29.57,0.02,290.45,3.6,0.03,67.0,101.0,0.56,7.85,277.0
29.48,0.02,294.44,2.6,0.03,24.0,101.0,0.07,7.83,301.0
29.44,0.02,331.0,3.1,0.03,64.0,101.0,0.31,15.44,252.0
